id,name,address,location,description,url
midwaysaloon,Midway Saloon,"1567 University Ave W, Saint Paul, MN 55104","XR4M+CC St Paul, Minnesota","This historic neighborhood bar pairs an unpretentious atmosphere with live music, local events, and an extensive whiskey and craft beer selection. Located steps from Allianz Field, it is a go-to Midway spot for weekly blues jams, local music showcases, and pre-game gatherings.",https://www.themidwaysaloon.com/
ginkgocoffeehouse,Ginkgo Coffeehouse,"721 Snelling Ave N, St Paul, MN 55104","XR7M+62 St Paul, Minnesota","This cozy coffeehouse serves espresso drinks, light eats, and baked goods in a family-friendly space. Beyond coffee, Ginkgo functions as a community hub hosting acoustic live music, art exhibitions, and seasonal maker fairs.",https://ginkgocoffee.com/
sundinmusichall,Sundin Music Hall,"1531 Hewitt Ave, St Paul, MN 55104","XR8M+QX St Paul, Minnesota","Located on the campus of Hamline University, this 325-seat concert hall is celebrated across the Twin Cities for its intimate, warm ambiance and recording-quality acoustics.",hamline.edu/sundin-music-hall
turfclub,Turf Club,"1601 University Ave W, St Paul, MN 55104","XR4J+9R St Paul, Minnesota","This historic venue features live performances from national touring acts and local artists almost every night of the week. Operated by First Avenue, it offers a legendary main stage upstairs and a cozy basement hideaway in the Clown Lounge.",https://first-avenue.com/venue/turf-club/
urbanlights,Urban Lights,"1449 University Ave W, St Paul, MN 55104","XR4Q+9C St Paul, Minnesota","A cornerstone of the local music scene and one of Minnesota's premier Black-owned record stores, Urban Lights specializes in R&B, hip-hop, and gospel vinyl and CDs. The space doubles as an open house for creatives, regularly hosting block parties, DJ showcases, and open mics.",https://theurbanlightsmusic.com/
hamlinepark,Hamline Park,"1564 Lafond Ave, St Paul, MN 55104","XR5M+X8 St Paul, Minnesota","This neighborhood green space features a playground, futsal court, basketball courts, and open grassy areas. It offers a versatile outdoor venue for community gatherings, youth programming, and neighborhood events.",https://www.stpaul.gov/facilities/hamline-park
jimmyleereccenter,Jimmy Lee Rec Center,"270 Lexington Pkwy N, St Paul, MN 55104","WVX3+RJ St Paul, Minnesota","Located within the Oxford Community Center in Saint Paul’s historic Rondo neighborhood, this facility provides top-tier athletic and recreational spaces. It acts as a vital neighborhood hub for youth sports, arts initiatives, and health and wellness activities.",https://www.stpaul.gov/facilities/oxford-community-center
creativewritinghouse,Creative Writing House,"1500 Englewood Ave, St Paul, MN 55104","XR7P+G8 St Paul, Minnesota","Home to Hamline University’s Creative Writing Programs, this dedicated campus residence supports emerging authors across fiction, poetry, and nonfiction. It serves as an anchor for literary workshops, student-led art collectives, and community literary events.",https://www.hamline.edu/academics/college-schools/creative-writing-programs
blackgarnetbooks,Black Garnet Books,"1319 University Ave W, St Paul, MN 55104","XR4V+9J St Paul, Minnesota","An independent, Black-owned bookstore dedicated to centering literature, poetry, and artwork by BIPOC authors and illustrators. The shop creates a welcoming environment focused on community care through book clubs, author events, and workshops.",blackgarnetbooks.com
mosaiconastick,Mosaic on a Stick,"1564 Lafond Ave, St Paul, MN 55104","XR5M+X8 St Paul, Minnesota","Mosaic on a Stick is a vibrant St. Paul community art studio and retail shop dedicated to inspiring creativity through the art of mosaic. They offer a full supply of colorful tiles, glass, and tools alongside hands-on workshops for artists and makers of all skill levels.",http://www.mosaiconastick.com/
mamasmarket&deli,Mamas Market & Deli,"678 Snelling Ave N #100, St Paul, MN 55104","XR6M+J8 St Paul, Minnesota","Co-owned by nine Ethiopian immigrant mothers, Mamas Market & Deli is a welcoming neighborhood spot built on shared dreams and rich culture. They serve up fresh deli sandwiches, house-made smoothies, traditional Ethiopian coffee, and everyday market staples.",https://mamasmarketdeli.us/
vigguitars,Vig Guitars,"595 Snelling Ave N, St Paul, MN 55104","XR5M+J3 St Paul, Minnesota","VIG Guitars is an award-winning, Indigenous-owned music shop based in St. Paul, Minnesota. They specialize in expert luthier repairs, custom hand-wound pickups, and a curated selection of quality new and used instruments.",http://vigguitarshop.com/
thedublinerpub,The Dubliner Pub,"2162 University Ave W, St Paul, MN 55114","XR66+64 St Paul, Minnesota","The Dubliner Pub is a beloved St. Paul landmark known for its warm, authentic Irish hospitality and vibrant, community-centered atmosphere. A staple since 1983, it offers local drafts, regular live traditional Irish music, and a lively space for neighborhood gatherings.",http://thedublinerpub.com/
fluidinktattoos,Fluid Ink Tattoos,"597 Snelling Ave N, St Paul, MN 55104","XR5M+M3 St Paul, Minnesota","Fluid Ink Tattoos is dedicated to high-quality body art in a clean, welcoming, and inclusive environment. Their team of experienced artists specializes in custom designs across a wide range of styles, working closely with clients to bring unique visions to life.",http://fluidinkmn.com/
