id,title,venue_id,date,start_time,end_time,kind,tickets,age_limit,description,url
midway-strays,The Midway Strays,midwaysaloon,2026-10-02,17:00,18:00,music,,21+,"An indie rock quartet plays loud, reverb-heavy songs on the main stage.",https://example-indie-band.test
neon-decay,Neon Decay,midwaysaloon,2026-10-02,18:15,19:15,music,,21+,"A punk rock band plays fast, three-chord songs with shouted vocals.",example-punk-band.test
open-mic-night,Open Mic Night,jimmyleereccenter,2026-10-03,11:00,12:00,literary,,,"Residents sign up to share songs, poems, or comedy on stage.",
rusty-nails,The Rusty Nails,jimmyleereccenter,2026-10-03,19:00,19:45,music,,,"A garage rock band plays raw, unpolished rock and roll.",https://example-garage-band.test
punk-rockers,The Punk Rockers,midwaysaloon,2026-10-03,20:00,20:45,music,,18+,"A five-piece band plays aggressive, fast-paced punk songs.",
cedar-and-sage,Cedar & Sage,midwaysaloon,2026-10-03,23:30,00:15,music,,21+,A singer-songwriter performs original acoustic folk songs.,
echo-chamber,Echo Chamber,midwaysaloon,2026-10-04,16:00,16:45,music,,,A shoegaze band plays layered guitars with soft vocals.,https://example-shoegaze.test
folk-four-2,The Folk Four,midwaysaloon,2026-10-04,17:00,17:45,music,,,A quartet sings harmonies without instruments.,
pine-and-paper,Pine & Paper,blackgarnetbooks,2026-10-02,17:00,17:45,music,,,"A folk duo performs quiet, acoustic ballads about winter in Minnesota.",mailto:booking@example-folk-duo.test
folk-four,The Folk Four,blackgarnetbooks,2026-10-02,18:00,18:45,music,,,A quartet sings harmonies without instruments.,
neighborhood-history-walk,Neighborhood History Walk,blackgarnetbooks,2026-10-03,11:00,12:00,other,,,A historian leads a walking tour of old buildings in the Midway area.,
country-roads,The Country Roads,blackgarnetbooks,2026-10-03,19:00,19:45,music,,,A duo plays heartfelt songs about rural life.,
poetry-reading-circle,Poetry Reading Circle,jimmyleereccenter,2026-10-04,11:00,12:00,literary,Free Ticket Required,,Local writers read their original poems from a podium.,
indie-kids,The Indie Kids,blackgarnetbooks,2026-10-04,16:00,16:45,music,,,A group of teenagers plays lo-fi indie pop songs.,
blue-note-st-paul-2,Blue Note St. Paul,blackgarnetbooks,2026-10-04,17:00,17:45,music,,,A jazz trio plays standards on a small side stage.,
gallery-opening-local-lens,Gallery Opening: Local Lens,jimmyleereccenter,2026-10-02,17:00,18:30,art,,,Photographers display black and white photos of St. Paul neighborhoods.,
digital-art-installation,Digital Art Installation,jimmyleereccenter,2026-10-02,18:45,19:45,art,,,A projection mapping display shows animated patterns on a building wall.,
printmaking-workshop,Printmaking Workshop,creativewritinghouse,2026-10-03,11:00,12:30,art,,,Visitors learn to make linocut prints with guidance from a local artist.,
sculpture-garden-tour,Sculpture Garden Tour,creativewritinghouse,2026-10-03,12:45,13:45,art,,,A guided walk shows metal and wood sculptures placed around the park.,
pottery-showcase,Pottery Showcase,creativewritinghouse,2026-10-03,14:15,15:15,art,,,Local potters display hand-thrown ceramic bowls and vases.,
textile-art-fair,Textile Art Fair,creativewritinghouse,2026-10-04,11:00,12:00,vendor,,,Weavers and quilters sell handmade fabric art pieces.,
street-art-showcase,Street Art Showcase,creativewritinghouse,2026-10-04,12:15,13:45,art,,,Graffiti artists paint new designs on designated concrete panels.,
